of the Haunted
of the Forgotten
of the Disgraced
of the Barbaric
of the Monstrous
of the Fallen
of the Cursed
of the Bound
of the Poisonous
of the Cyclopean
of the Sky
of the Frozen
of the Burning
of the Thieving
of the Crystalline
of the Otherworldly
of the Blighted
of the Celestial
of the Draconic
of the Ethereal
of the Desecrated
of the Reptilian
of the Metallic
of the Insectoid
of the Elemental
of the Arachnid
of the Demonic
of the Fungal
of the Golden
of the Fey
of the Lightning
of the Piscine
of the Corrupt
of the Righteous
of the Mud
of the Night
of the Hidden
of the Forbidden
of the Shimmering
of the Glass
of the Radiant
of the Mad
of the Wild
of the Lost
of the Majestic
of the Antediluvian
of the Prophesied
of the Shrouded
of the Cosmic
of the Legendary
